Order Date,Revenue
2016-01,253298.99
2016-02,300493.41
2016-03,244612.35
2016-04,202415.07
2016-05,239045.21
2016-06,207198.28
2016-07,167716.36000000002
2016-08,223102.94
2016-09,209352.07
2016-10,221457.18
2016-11,241189.05
2016-12,224373.96
2017-01,186750.25
2017-02,249723.72
2017-03,235290.72
2017-04,299298.22
2017-05,207709.45
2017-06,232811.67
2017-07,229789.02
2017-08,185753.8
2017-09,206625.43
2017-10,250285.02
2017-11,236925.58
2017-12,247500.85
2018-01,440900.3
2018-02,349149.39
2018-03,468566.26
2018-04,344770.44
2018-05,277972.77
2018-06,388142.6
2018-07,406596.42
2018-08,482329.93
2018-09,373016.21
2018-10,490824.09
2018-11,419735.46
2018-12,405171.43
2019-01,478820.85
2019-02,708556.84
2019-03,575179.51
2019-04,610520.93
2019-05,659741.31
2019-06,486113.84
2019-07,586211.61
2019-08,558102.44
2019-09,643824.51
2019-10,524740.16
2019-11,527161.76
2019-12,699979.07
2020-01,371412.99
2020-02,394621.57
2020-03,258684.59
2020-04,387462.5
2020-05,260985.45
2020-06,349100.89
2020-07,370686.98
2020-08,348707.47
2020-09,309048.42
2020-10,278296.95
2020-11,337464.96
2020-12,313025.08
2021-01,25103.22
2021-02,54594.35
2021-03,21758.93
2021-04,53802.54
2021-05,39455.7
2021-06,60510.33
2021-07,27415.7
2021-08,32096.93
2021-09,54337.8
2021-10,22048.0
2021-11,42164.71
2021-12,23017.0
