Subcategory,Profit
Desktops,5629155.33
Televisions,2631908.38
Projectors & Screens,2357342.37
Water Heaters,2039982.3
Camcorders,2018119.7
Movie DVD,1909259.1700000002
Laptops,1793677.71
Touch Screen Phones,1738593.81
Smart phones & PDAs,1590479.02
Refrigerators,1316366.73
Washers & Dryers,1197517.99
Digital SLR Cameras,1170056.98
Monitors,950021.49
Bluetooth Headphones,806865.02
Recording Pen,741086.69
Coffee Machines,692610.8600000001
Microwaves,650954.38
Digital Cameras,510597.56
"Printers, Scanners & Fax",428520.56
Home Theater System,398020.77
Download Games,344731.16
Car Video,331773.07
MP4&MP3,279900.06
Cameras & Camcorders Accessories,221026.75
Air Conditioners,188442.49
VCD & DVD,174992.17
Lamps,156987.12
Computers Accessories,118730.44
Home & Office Phones,93627.2
Cell phones Accessories,75926.51000000001
Fans,53476.98
Boxed Games,51937.61
