StoreKey,Store Size,Revenue
1,595.0,243029.93
2,665.0,15175.99
4,2000.0,442475.02
5,2000.0,859678.19
6,2000.0,538781.9400000001
8,2105.0,1232225.93
9,1500.0,1336150.06
10,1210.0,1043185.8
12,350.0,183091.04
13,245.0,150925.12
14,350.0,105714.05
15,400.0,205119.67
16,385.0,199009.69
17,350.0,159607.5
18,310.0,226078.88
19,1295.0,576574.93
20,1715.0,388594.07
21,560.0,402274.12
22,2000.0,652984.86
23,1365.0,615040.59
24,1855.0,673559.95
26,350.0,279774.56
27,2000.0,657476.14
28,1200.0,187109.49
29,1000.0,913856.35
30,2100.0,958120.97
31,1085.0,357130.15
32,910.0,382595.1
33,1540.0,416858.99
34,1365.0,434760.24
36,1300.0,837667.19
37,2100.0,841994.26
38,1800.0,995313.11
39,2100.0,894119.16
40,1300.0,911596.25
41,2100.0,383054.03
42,1900.0,886025.78
43,1190.0,1250255.14
44,2000.0,1216857.73
45,2000.0,1318787.92
47,1120.0,1130742.94
48,1540.0,1058268.5
49,2000.0,935568.55
50,2000.0,1394738.06
51,1295.0,1130592.31
53,1260.0,1193921.14
54,2000.0,1384396.24
55,2000.0,1417885.41
56,1260.0,1207253.73
57,1645.0,1325611.89
59,2000.0,1302272.44
61,2000.0,1305684.43
62,1120.0,666302.65
63,2000.0,819931.04
64,1330.0,1259350.98
65,1785.0,1225040.38
66,840.0,1220964.38
